Time,Quadrant Number,Ball Colour,Type
89.53711058749607,1,orange,Entry
89.53711058749607,1,green,Exit
89.53711058749607,2,white,Entry
89.57039575871819,1,orange,Entry
89.57039575871819,1,green,Exit
89.57039575871819,2,white,Exit
89.60368092994031,1,orange,Entry
89.60368092994031,1,green,Exit
89.60368092994031,2,white,Entry
89.63696610116243,1,orange,Entry
89.63696610116243,1,green,Exit
89.63696610116243,2,white,Exit
89.67025127238455,1,orange,Entry
89.67025127238455,1,green,Exit
89.67025127238455,3,yellow,Entry
89.67025127238455,2,white,Entry
89.70353644360667,1,orange,Entry
89.70353644360667,1,green,Exit
89.70353644360667,2,white,Exit
89.73682161482878,1,orange,Entry
89.73682161482878,1,green,Exit
89.73682161482878,2,white,Entry
89.7701067860509,1,orange,Entry
89.7701067860509,1,green,Exit
89.7701067860509,2,white,Exit
89.80339195727302,4,orange,Entry
89.80339195727302,4,green,Exit
89.80339195727302,2,white,Entry
89.83667712849514,4,orange,Entry
89.83667712849514,4,green,Exit
89.83667712849514,2,white,Exit
89.86996229971726,4,orange,Entry
89.86996229971726,4,green,Exit
89.86996229971726,2,white,Entry
89.90324747093938,4,orange,Entry
89.90324747093938,4,green,Exit
89.90324747093938,2,white,Exit
89.93653264216148,4,orange,Entry
89.93653264216148,4,green,Exit
89.93653264216148,2,white,Entry
89.9698178133836,4,orange,Entry
89.9698178133836,4,green,Exit
89.9698178133836,2,white,Exit
90.00310298460572,4,orange,Entry
90.00310298460572,4,green,Exit
90.00310298460572,2,white,Entry
90.03638815582784,4,orange,Entry
90.03638815582784,4,green,Exit
90.03638815582784,2,white,Exit
90.06967332704995,4,orange,Entry
90.06967332704995,4,green,Exit
90.06967332704995,2,white,Entry
90.10295849827207,4,orange,Entry
90.10295849827207,4,green,Exit
90.10295849827207,2,white,Exit
90.13624366949419,4,orange,Entry
90.13624366949419,4,green,Exit
90.13624366949419,2,white,Entry
90.16952884071631,4,orange,Entry
90.16952884071631,4,green,Exit
90.16952884071631,2,white,Exit
90.20281401193843,4,orange,Entry
90.20281401193843,4,green,Exit
90.20281401193843,2,white,Entry
90.23609918316055,4,orange,Entry
90.23609918316055,4,green,Exit
90.23609918316055,2,white,Exit
90.26938435438267,4,orange,Entry
90.26938435438267,4,green,Exit
90.26938435438267,2,white,Entry
90.30266952560478,4,orange,Entry
90.30266952560478,4,green,Exit
90.30266952560478,2,white,Exit
90.3359546968269,4,orange,Entry
90.3359546968269,4,green,Exit
90.3359546968269,2,white,Entry
90.36923986804902,4,orange,Entry
90.36923986804902,4,green,Exit
90.36923986804902,2,white,Exit
90.40252503927114,4,orange,Entry
90.40252503927114,4,green,Exit
90.40252503927114,2,white,Entry
90.43581021049324,4,orange,Entry
90.43581021049324,4,green,Exit
90.43581021049324,2,white,Exit
90.46909538171536,4,orange,Entry
90.46909538171536,4,green,Exit
90.46909538171536,2,white,Entry
90.50238055293748,4,orange,Entry
90.50238055293748,4,green,Exit
90.50238055293748,2,white,Exit
90.5356657241596,4,orange,Entry
90.5356657241596,4,green,Exit
90.5356657241596,2,white,Entry
90.56895089538172,4,orange,Entry
90.56895089538172,4,green,Exit
90.56895089538172,2,white,Exit
90.60223606660384,4,orange,Entry
90.60223606660384,4,green,Exit
90.60223606660384,2,white,Entry
90.63552123782596,4,orange,Entry
90.63552123782596,4,green,Exit
90.63552123782596,2,white,Exit
90.66880640904807,4,orange,Entry
90.66880640904807,4,green,Exit
90.66880640904807,2,white,Entry
90.70209158027019,4,orange,Entry
90.70209158027019,4,green,Exit
90.70209158027019,2,white,Exit
90.73537675149231,4,orange,Entry
90.73537675149231,4,green,Exit
90.73537675149231,2,white,Entry
90.76866192271443,4,orange,Entry
90.76866192271443,4,green,Exit
90.76866192271443,2,white,Exit
90.80194709393655,4,orange,Entry
90.80194709393655,4,green,Exit
90.80194709393655,2,white,Entry
90.83523226515867,4,orange,Entry
90.83523226515867,4,green,Exit
90.83523226515867,2,white,Exit
90.86851743638078,4,orange,Entry
90.86851743638078,4,green,Exit
90.86851743638078,3,yellow,Exit
90.86851743638078,2,white,Entry
90.90180260760289,4,orange,Entry
90.90180260760289,4,green,Exit
90.90180260760289,2,white,Exit
90.93508777882501,4,orange,Entry
90.93508777882501,4,green,Exit
90.93508777882501,2,white,Entry
90.96837295004713,4,orange,Entry
90.96837295004713,4,green,Exit
90.96837295004713,2,white,Exit
91.00165812126924,4,orange,Entry
91.00165812126924,4,green,Exit
91.00165812126924,2,white,Entry
91.03494329249136,4,orange,Entry
91.03494329249136,4,green,Exit
91.03494329249136,3,yellow,Entry
91.03494329249136,2,white,Exit
91.06822846371348,4,orange,Entry
91.06822846371348,4,green,Exit
91.06822846371348,2,white,Entry
91.1015136349356,4,orange,Entry
91.1015136349356,4,green,Exit
91.1015136349356,2,white,Exit
91.13479880615772,4,orange,Entry
91.13479880615772,4,green,Exit
91.13479880615772,2,white,Entry
91.16808397737984,4,orange,Entry
91.16808397737984,4,green,Exit
91.16808397737984,2,white,Exit
91.20136914860196,4,orange,Entry
91.20136914860196,4,green,Exit
91.20136914860196,2,white,Entry
91.23465431982407,4,orange,Entry
91.23465431982407,4,green,Exit
91.23465431982407,2,white,Exit
91.26793949104619,4,orange,Entry
91.26793949104619,4,green,Exit
91.26793949104619,2,white,Entry
91.30122466226831,4,orange,Entry
91.30122466226831,4,green,Exit
91.30122466226831,2,white,Exit
91.33450983349043,4,orange,Entry
91.33450983349043,4,green,Exit
91.33450983349043,2,white,Entry
91.36779500471253,4,orange,Entry
91.36779500471253,4,green,Exit
91.36779500471253,2,white,Exit
91.40108017593465,4,orange,Entry
91.40108017593465,4,green,Exit
91.40108017593465,2,white,Entry
91.43436534715677,4,orange,Entry
91.43436534715677,4,green,Exit
91.43436534715677,2,white,Exit
91.46765051837889,4,orange,Entry
91.46765051837889,4,green,Exit
91.46765051837889,2,white,Entry
91.50093568960101,4,orange,Entry
91.50093568960101,4,green,Exit
91.50093568960101,3,yellow,Exit
91.50093568960101,2,white,Exit
91.53422086082313,4,orange,Entry
91.53422086082313,4,green,Exit
91.53422086082313,2,white,Entry
91.56750603204524,4,orange,Entry
91.56750603204524,4,green,Exit
91.56750603204524,2,white,Exit
91.60079120326736,4,orange,Entry
91.60079120326736,4,green,Exit
91.60079120326736,2,white,Entry
91.63407637448948,4,orange,Entry
91.63407637448948,4,green,Exit
91.63407637448948,2,white,Exit
91.6673615457116,4,orange,Entry
91.6673615457116,4,green,Exit
91.6673615457116,2,white,Entry
91.70064671693372,4,orange,Entry
91.70064671693372,4,green,Exit
91.70064671693372,2,white,Exit
91.73393188815584,4,orange,Entry
91.73393188815584,4,green,Exit
91.73393188815584,2,white,Entry
91.76721705937796,4,orange,Entry
91.76721705937796,4,green,Exit
91.76721705937796,2,white,Exit
91.80050223060007,4,orange,Entry
91.80050223060007,4,green,Exit
91.80050223060007,2,white,Entry
91.83378740182218,4,orange,Entry
91.83378740182218,4,green,Exit
91.83378740182218,2,white,Exit
91.8670725730443,4,orange,Entry
91.8670725730443,4,green,Exit
91.8670725730443,2,white,Entry
91.90035774426642,4,orange,Entry
91.90035774426642,4,green,Exit
91.90035774426642,2,white,Exit
91.93364291548853,4,orange,Entry
91.93364291548853,4,green,Exit
91.93364291548853,2,white,Entry
91.96692808671065,4,orange,Entry
91.96692808671065,4,green,Exit
91.96692808671065,2,white,Exit
92.00021325793277,4,orange,Entry
92.00021325793277,4,green,Exit
92.00021325793277,3,yellow,Entry
92.00021325793277,2,white,Entry
92.03349842915489,4,orange,Entry
92.03349842915489,4,green,Exit
92.03349842915489,2,white,Exit
92.06678360037701,4,orange,Entry
92.06678360037701,4,green,Exit
92.06678360037701,2,white,Entry
92.10006877159913,4,orange,Entry
92.10006877159913,4,green,Exit
92.10006877159913,2,white,Exit
92.13335394282124,4,orange,Entry
92.13335394282124,4,green,Exit
92.13335394282124,2,white,Entry
92.16663911404336,4,orange,Entry
92.16663911404336,4,green,Exit
92.16663911404336,2,white,Exit
92.19992428526548,4,orange,Entry
92.19992428526548,4,green,Exit
92.19992428526548,2,white,Entry
92.2332094564876,4,orange,Entry
92.2332094564876,4,green,Exit
92.2332094564876,2,white,Exit
92.26649462770972,4,orange,Entry
92.26649462770972,4,green,Exit
92.26649462770972,2,white,Entry
92.29977979893184,4,orange,Entry
92.29977979893184,4,green,Exit
92.29977979893184,2,white,Exit
92.33306497015394,4,orange,Entry
92.33306497015394,4,green,Exit
92.33306497015394,2,white,Entry
92.36635014137606,4,orange,Entry
92.36635014137606,4,green,Exit
92.36635014137606,2,white,Exit
92.39963531259818,4,orange,Entry
92.39963531259818,4,green,Exit
92.39963531259818,2,white,Entry
92.4329204838203,4,orange,Entry
92.4329204838203,4,green,Exit
92.4329204838203,2,white,Exit
92.46620565504242,4,orange,Entry
92.46620565504242,4,green,Exit
92.46620565504242,2,white,Entry
92.49949082626453,4,orange,Entry
92.49949082626453,4,green,Exit
92.49949082626453,2,white,Exit
92.53277599748665,4,orange,Entry
92.53277599748665,4,green,Exit
92.53277599748665,2,white,Entry
92.56606116870877,4,orange,Entry
92.56606116870877,4,green,Exit
92.56606116870877,2,white,Exit
92.59934633993089,4,orange,Entry
92.59934633993089,4,green,Exit
92.59934633993089,2,white,Entry
92.63263151115301,4,orange,Entry
92.63263151115301,4,green,Exit
92.63263151115301,2,white,Exit
92.66591668237513,4,orange,Entry
92.66591668237513,4,green,Exit
92.66591668237513,2,white,Entry
92.69920185359724,4,orange,Entry
92.69920185359724,4,green,Exit
92.69920185359724,2,white,Exit
92.73248702481936,4,orange,Entry
92.73248702481936,4,green,Exit
92.73248702481936,2,white,Entry
92.76577219604148,4,orange,Entry
92.76577219604148,4,green,Exit
92.76577219604148,4,yellow,Entry
92.76577219604148,2,white,Exit
92.79905736726359,4,orange,Exit
92.79905736726359,4,green,Entry
92.79905736726359,2,white,Entry
92.8323425384857,4,orange,Exit
92.8323425384857,4,green,Entry
92.8323425384857,4,yellow,Exit
92.8323425384857,2,white,Exit
92.86562770970782,4,orange,Entry
92.86562770970782,4,green,Exit
92.86562770970782,4,yellow,Entry
92.86562770970782,2,white,Entry
92.89891288092994,4,orange,Exit
92.89891288092994,4,green,Entry
92.89891288092994,4,yellow,Exit
92.89891288092994,2,white,Exit
92.93219805215206,4,orange,Entry
92.93219805215206,4,green,Exit
92.93219805215206,2,white,Entry
92.96548322337418,4,orange,Entry
92.96548322337418,4,green,Exit
92.96548322337418,3,yellow,Exit
92.96548322337418,2,white,Exit
92.9987683945963,4,orange,Entry
92.9987683945963,4,green,Exit
92.9987683945963,2,white,Entry
93.03205356581842,4,orange,Entry
93.03205356581842,4,green,Exit
93.03205356581842,2,white,Exit
93.06533873704053,4,orange,Entry
93.06533873704053,4,green,Exit
93.06533873704053,2,white,Entry
93.09862390826265,4,orange,Entry
93.09862390826265,4,green,Exit
93.09862390826265,2,white,Exit
93.13190907948477,4,orange,Entry
93.13190907948477,4,green,Exit
93.13190907948477,2,white,Entry
93.16519425070689,4,orange,Entry
93.16519425070689,4,green,Exit
93.16519425070689,4,yellow,Entry
93.16519425070689,2,white,Exit
93.19847942192901,4,orange,Exit
93.19847942192901,4,green,Entry
93.19847942192901,2,white,Entry
93.23176459315113,4,orange,Exit
93.23176459315113,4,green,Entry
93.23176459315113,4,yellow,Exit
93.23176459315113,2,white,Exit
93.26504976437323,4,orange,Entry
93.26504976437323,4,green,Exit
93.26504976437323,2,white,Entry
93.29833493559535,4,orange,Entry
93.29833493559535,4,green,Exit
93.29833493559535,2,white,Exit
93.33162010681747,4,orange,Entry
93.33162010681747,4,green,Exit
93.33162010681747,2,white,Entry
93.36490527803959,4,orange,Entry
93.36490527803959,4,green,Exit
93.36490527803959,4,yellow,Entry
